Org ragione sociale;Studente classe;Org email;telefono;Org sede provincia;Org sede indirizzo;Progetto titolo;Progetto descrizione
TRACONF SRL;5BL TRASPORTI E LOGISTICA ART. LOGISTICA;info@trancof.it;0456083111;VR;VIA DELL'INDUSTRIA - SONA;LOG06 Tecnico del trasporto modale ed intermodale \n\n;Coordina le attività di trasporto( navale, stradale, ferroviario ed aereo) vigilando sul rispetto delle regole e controlla il corretto utilizzo di aree  e beni\n\n\n
AMT AZIENDA MOBILITA' E TRASPORTI S.P.A.;4BI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info@amt.it;0452320025;VR;VIA F. TORBIDO,1 - VERONA;INF03 - Tecnico gestore di database\n\n\n\n;Le professioni comprese in questa unità analizzano, progettano, sviluppano e collaudano i sistemi di gestione di banche dati, garantendone e controllandone le prestazioni ottimali e la sicurezza. Definiscono e predispongono i sistemi di backup e le procedure per preservare la sicurezza e l'integrità dei dati.\n\n\n\n\n
BPS COMPUTER SRL;4BI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;stefania@bpscomputer.it;045549872;VR;PIAZZA UMBERTO I, 47 - SAN GIOVANNI LUPATOTO;INF06 - Addetto alla manutenzione hardware e software\n\n\n\n\n;Le professioni comprese in questa unità installano, riparano e testano apparecchiature informatiche installano, mantengono e sostituiscono parti di personal computer e delle loro componenti periferiche.\n
TERMOSANITARIA PASINATO SRL;4BL TRASPORTI E LOGISTICA ART. LOGISTICA;info@termopasi.com;045 8550500;VR;STRADA DELLE TRINCEE 13/L - VERONA;LOG01 Responsabile di magazzino e della distribuzione interna\n\n\n;\nGestiscono la movimentazione interna ai magazzini, ne valutano la qualità, provvedono alla eventuale formazione di UdC o imballaggi vari, gestiscono il picking e l’allocazione interna delle merci valutando tempi e costi\n\n
ARDUINI E NERBOLDI SRL;4AC TRASPORTI E LOGISTICA ART. COSTRUZIONE DEL MEZ;;0458515450;VR;VIA DELLA MECCANICA 32 - VERONA;CML01 TECNICO MANUTENZIONE E RIPARAZIONE DI MEZZI DI TRASPORTO E DI MACCHINE INDUSTRIALI\n\n\n\n\n;Opera nell’ambito della riparazione e manutenzione conto terzi di mezzi di trasporto, macchine e attrezzature di produzione, sia in officina che presso i siti produttivi dei clienti\n\n\n\n\n\n
ZWOLF SAS DI LAGO KATIA & C.;4BE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;info@zwolf.it;0457117379;VR;VIA BRUNORO DELLA SCALA  24 - VERONA;ELE02 - CABLATORE/MANUTENTORE DI IMPIANTI ELETTRICI.\n\n\n\n;La figura effettua il cablaggio e messa in opera dei quadri elettrici bordo macchina per l’automazione civile e industriale.  Inoltre installa sistemi e apparecchiature elettroniche.\n\n\n\n
EB NEURO S.P.A.;4BE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;info@ehneuro.com;0456028111;FI;VIA P. FANFANI, 97/A - FIRENZE;ELE01 - COLLAUDATORE DI SCHEDE ELETTRONICHE\n\n;La figura verifica che il funzionamento della scheda elettronica risponda ai requisiti di corretto funzionamento stabiliti in fase di progetto. A tal scopo utilizza apposita strumentazione elettronica di misurazione per effettuare test diagnostici.\n\n\n
UTECO CONVERTING S.P.A.;4AL TRASPORTI E LOGISTICA ART. LOGISTICA;personale@uteco.com;045 6174555;VR;VIALE DEL LAVORO,25 - COLOGNOLA AI COLLI;LOG03 Tecnico della gestione dei processi produttivi di beni e servizi\n\n\n\n\n\n\n\n;Applicano procedure, regolamenti e tecnologie proprie per gestire, controllare, organizzare e garantire l'efficienza e la corretta erogazione dei servizi e ne verificano la qualità\n\n\n\n\n\n\n\n
BERNER SPA;4AL TRASPORTI E LOGISTICA ART. LOGISTICA;info@berner.it;0458670111;VR;VIA DELL' ELETTRONICA 15 - VERONA;LOG03 Tecnico della gestione dei processi produttivi di beni e servizi\n\n\n\n\n\n\n\n;Applicano procedure, regolamenti e tecnologie proprie per gestire, controllare, organizzare e garantire l'efficienza e la corretta erogazione dei servizi e ne verificano la qualità\n\n\n\n\n\n\n\n
COMUNE DI VERONA;4AT INFORMATICA E TELECOMUNICAZIONI ART. TELECOMUN;tirocini.lavoro@comune.verona.it;0458077400;VR;P.ZZA BR, 1 - VERONA;TLC02 - Tecnico gestore di reti e di sistemi telematici\n;Le professioni classificate in questa unità assistono i progettisti e amministratori di sistemi installando, configurando, gestendo e manutenendo per gli aspetti software i sistemi telematici ed i relativi sistemi di sicurezza.\n
CANEVAWORLD RESORT SRL;4CI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;germana.amicabile@canevaworld.it;0456969900;VR;VIA FOSSALTA, 58 - LAZISE;INF01 - Tecnico programmatore\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n
VM RACING;4AC TRASPORTI E LOGISTICA ART. COSTRUZIONE DEL MEZ;info@vmracing.it;3483681295;VR;VIA CIRO FERRARI 1 - VERONA;CML01 TECNICO MANUTENZIONE E RIPARAZIONE DI MEZZI DI TRASPORTO E DI MACCHINE INDUSTRIALI\n\n\n\n\n;Opera nell’ambito della riparazione e manutenzione conto terzi di mezzi di trasporto, macchine e attrezzature di produzione, sia in officina che presso i siti produttivi dei clienti\n\n\n\n\n\n
GRUPPO VOLTA SRL;4AI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;amministrazione@gruppovolta.it;045515265;VR;VIA BUSSOLENGO,8 - SOMMACAMPAGNA;INF02 - Sviluppatore di applicazioni per il web e multimediali\n\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n\n
FERROVIE DELLO STATO ITALIANE;4AT INFORMATICA E TELECOMUNICAZIONI ART. TELECOMUN;PA.ZANELLA@TRENITALIA.IT;0458024675;RM;PIAZZA DELLA CROCE ROSSA , 1 - ROMA;TLC07 - Tecnici per le telecomunicazioni\n\n\n\n\n\n\n\n\n\n;Le professioni classificate in questa unità curano l'installazione, il montaggio, la messa in servizio e la manutenzione delle componenti fisiche di reti informatiche, telefoniche, di impianti radiotelevisivi e satellitari e altre reti di sistemi di informazione elettronica per la trasmissione di dati e immagini.\n\n\n
VIP SOLAR;4AT INFORMATICA E TELECOMUNICAZIONI ART. TELECOMUN;valentino@vipsolar.it;0454725445;VR;VIA LEGNAGO 39 - VERONA;TLC07 - Tecnici per le telecomunicazioni\n\n\n\n\n\n\n\n\n\n;Le professioni classificate in questa unità curano l'installazione, il montaggio, la messa in servizio e la manutenzione delle componenti fisiche di reti informatiche, telefoniche, di impianti radiotelevisivi e satellitari e altre reti di sistemi di informazione elettronica per la trasmissione di dati e immagini.\n\n\n
AUTOTRASPORTI BOMMARTINI SRL;4AL TRASPORTI E LOGISTICA ART. LOGISTICA;bommartini@bommartini.it;0456108311;VR;VIA SERENISSIMA 50 - SOAVE;LOG03 Tecnico della gestione dei processi produttivi di beni e servizi\n\n\n\n\n\n\n\n;Applicano procedure, regolamenti e tecnologie proprie per gestire, controllare, organizzare e garantire l'efficienza e la corretta erogazione dei servizi e ne verificano la qualità\n\n\n\n\n\n\n\n
ASSOCIAZIONE VERONA FABLAB;3CI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;scuola@veronafablab.it;3440458663;VR;VIALE DEL LAVORO 2 - GREZZANA;INF01 - Tecnico programmatore\n\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n\n
TOR MEC AMBROSI S.R.L.;4AE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;tormec@legalmail.it;0456050205;VR;VIA MAESTRI DEL LAVORO,16 - ZEVIO;ELE10 - PROGETTISTA SVILUPPATORE DI SISTEMI ELETTRONICI PROGRAMMABILI\n\n;Opera nella progettazione e sviluppo di sistemi elettronici programmabili. Utilizza CAD elettronici per la stesura di schemi elettrici e per sviluppo PCB. Sviluppa programmi per il test ed il collaudo del prototipo del sistema.\n\n\n
OPEN-CO SRL;4DI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info@openco.it;0457860276;VR;VIA CORTE RONCHI 81C - SANT'AMBROGIO DI VALPOLICELLA;INF02 - Sviluppatore di applicazioni per il web e multimediali\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n
NEOTECNICA S.R.L.;4CI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;;0456862581;VR;VIA DIAZ LOCALITA' DOMEGLIARA 4 - SANT'AMBROGIO DI VALPOLICELLA;INF02 - Sviluppatore di applicazioni per il web e multimediali\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n
VILLAFRUT SRL;4AL TRASPORTI E LOGISTICA ART. LOGISTICA;info@villafrut.it;0456998150;VR;VIA VILLAFONTANA, 253 - OPPEANO;LOG03 Tecnico della gestione dei processi produttivi di beni e servizi\n\n\n\n\n\n\n\n;Applicano procedure, regolamenti e tecnologie proprie per gestire, controllare, organizzare e garantire l'efficienza e la corretta erogazione dei servizi e ne verificano la qualità\n\n\n\n\n\n\n\n
MIOINDIRIZZO SRL;4BI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info@mioindirizzo.com;0459200030;VR;VIA ENRICO FERMI, 11/A - VERONA;INF01 - Tecnico programmatore\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n
LIBRERIA JOLLY DEL LIBRO DI DE SIGNORI CLAUDIO;3AL TRASPORTI E LOGISTICA ART. LOGISTICA;info@libreriajolly.it;;VR;VIA UMBRIA 22 - VERONA;LOG01 Responsabile di magazzino e della distribuzione interna\n\n\n;\nGestiscono la movimentazione interna ai magazzini, ne valutano la qualità, provvedono alla eventuale formazione di UdC o imballaggi vari, gestiscono il picking e l’allocazione interna delle merci valutando tempi e costi\n\n
UNDERSCORE SOAVE COMPUTER DI DEMIS NAPOLI;4DI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info@underscore.computer;0456190136;VR;VIALE DELLA VITTORIA,15/A - SOAVE;INF06 - Addetto alla manutenzione hardware e software\n\n\n\n\n\n;Le professioni comprese in questa unità installano, riparano e testano apparecchiature informatiche installano, mantengono e sostituiscono parti di personal computer e delle loro componenti periferiche.\n\n
ELETTROMECCANICA BONFANTE SRL;4BE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;info@elettromeccanicabonfante.it;;VR;VIA MONTE PASTELLO 7A - SAN GIOVANNI LUPATOTO;ELE05 - INSTALLATORE/MANUTENTORE DI IMPIANTI/SISTEMI DI AUTOMAZIONE.\n\n\n;la figura si prefigge di: leggere e creare schemi elettrici, topografici, planimetrici anche con l'ausilio di strumenti informatici collaborare nella messa a punto degli impianti elettrici, nella regolazione delle apparecchiature e nella fase di collaudo eseguire l'installazione di impianti elettrici, delle verifiche, della ricerca di eventuali anomalie e loro riparazione analizzare la documentazione tecnica, i capitolati e le specifiche del committente programmare automatismi di comando e movimentazione con PLC.\n\n\n
ESOTERIC PRO AUDIO DI MAROGNA MIRKO;4CE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;info@estericproaudio.com;0458799319;VR;VIA CA DELL'AGLIO 3 - SAN MARTINO BUON ALBERGO;ELE02 - CABLATORE/MANUTENTORE DI IMPIANTI ELETTRICI.\n\n\n\n;La figura effettua il cablaggio e messa in opera dei quadri elettrici bordo macchina per l’automazione civile e industriale.  Inoltre installa sistemi e apparecchiature elettroniche.\n\n\n\n
VR FREDDO SRL;4AL TRASPORTI E LOGISTICA ART. LOGISTICA;veronafreddo@gmail.com;0458221104;VR;VIA CA' MAZZE' 11/13 - VERONA;LOG03 Tecnico della gestione dei processi produttivi di beni e servizi\n\n\n\n\n\n\n\n;Applicano procedure, regolamenti e tecnologie proprie per gestire, controllare, organizzare e garantire l'efficienza e la corretta erogazione dei servizi e ne verificano la qualità\n\n\n\n\n\n\n\n
MONDO PC SNC;3AI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;mail@mondo-pc.it;045518086;VR;VIA C. ANGIOLIERI, 4 - CASTEL D'AZZANO;INF06 - Addetto alla manutenzione hardware e software\n\n\n\n\n\n;Le professioni comprese in questa unità installano, riparano e testano apparecchiature informatiche installano, mantengono e sostituiscono parti di personal computer e delle loro componenti periferiche.\n\n
ISGROUP SRL;4EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;francesco.ongaro@isgroup.it;0454853232;VR;VICOLO MIRACOLI,1 - VERONA;INF01 - Tecnico programmatore\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n
UTECO CONVERTING S.P.A.;4AE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;personale@uteco.com;045 6174555;VR;VIALE DEL LAVORO,25 - COLOGNOLA AI COLLI;ELE05 - INSTALLATORE/MANUTENTORE DI IMPIANTI/SISTEMI DI AUTOMAZIONE.\n\n\n;la figura si prefigge di: leggere e creare schemi elettrici, topografici, planimetrici anche con l'ausilio di strumenti informatici collaborare nella messa a punto degli impianti elettrici, nella regolazione delle apparecchiature e nella fase di collaudo eseguire l'installazione di impianti elettrici, delle verifiche, della ricerca di eventuali anomalie e loro riparazione analizzare la documentazione tecnica, i capitolati e le specifiche del committente programmare automatismi di comando e movimentazione con PLC.\n\n\n
ASSOCIAZIONE VERONA FABLAB;4AI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;scuola@veronafablab.it;3440458663;VR;VIALE DEL LAVORO 2 - GREZZANA; FABLAB - ALTERNALAB - ROBOTICA\n\n\n\n\n;Gli studenti acquisiranno le competenze di base dell’elettronica, della programmazione e della meccanica.\n\n\n\n
BEDIGITAL S.R.L.;4AI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;amministrazione@bedigital.it;0458352440;VR;VIA GINO BELTRAMINI 15/A - VERONA;INF02 - Sviluppatore di applicazioni per il web e multimediali\n\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n\n
NOVAMIND S.N.C.;4CI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info@novimind.it;0456630515;VR;VIA VITTORIO VENETO - ISOLA DELLA SCALA;INF02 - Sviluppatore di applicazioni per il web e multimediali\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n
BERNER SPA;3EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info@berner.it;0458670111;VR;VIA DELL' ELETTRONICA 15 - VERONA;INF06 - Addetto alla manutenzione hardware e software\n\n\n\n\n\n;Le professioni comprese in questa unità installano, riparano e testano apparecchiature informatiche installano, mantengono e sostituiscono parti di personal computer e delle loro componenti periferiche.\n\n
MEQUADRO DI EMANUELE MAZZI;3AE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;;0458781546;VR;VIALE DEL LAVORO 15/H2 - SAN MARTINO BUON ALBERGO;ELE02 - CABLATORE/MANUTENTORE DI IMPIANTI ELETTRICI.\n\n\n\n\n;La figura effettua il cablaggio e messa in opera dei quadri elettrici bordo macchina per l’automazione civile e industriale.  Inoltre installa sistemi e apparecchiature elettroniche.\n\n\n\n\n
HANGARTNER TERMINAL S.R.L.;5AL TRASPORTI E LOGISTICA ART. LOGISTICA;nicola.zanini@dbschenker.com;0458282411;VR;VIA SOMMACAMPAGNA, 28 - VERONA;LOG06 Tecnico del trasporto modale ed intermodale \n\n\n;Coordina le attività di trasporto( navale, stradale, ferroviario ed aereo) vigilando sul rispetto delle regole e controlla il corretto utilizzo di aree  e beni\n\n\n\n
READY INFORMATION SRL;4BI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;marco@readyinformation.it;;VR;VIA GESUITI 4 - SONA;INF02 - Sviluppatore di applicazioni per il web e multimediali\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n
READY INFORMATION SRL;4BI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;marco@readyinformation.it;;VR;VIA GESUITI 4 - SONA;INF02 - Sviluppatore di applicazioni per il web e multimediali\n\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n\n
MTA SPA;4CE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;www.mta.it;0522/1827202;LO;VIALE DELL'INDUSTRIA 12 - CODOGNO;CML01 TECNICO MANUTENZIONE E RIPARAZIONE DI MEZZI DI TRASPORTO E DI MACCHINE INDUSTRIALI\n\n\n\n\n;Opera nell’ambito della riparazione e manutenzione conto terzi di mezzi di trasporto, macchine e attrezzature di produzione, sia in officina che presso i siti produttivi dei clienti\n\n\n\n\n\n
COOPERATIVA SOCIALE SI-FA;4BL TRASPORTI E LOGISTICA ART. LOGISTICA;sifa.coop@gmail.com;3296543586;VR;VIA F.CASAROTI 35 , - VERONA;LOG03 Tecnico della gestione dei processi produttivi di beni e servizi\n\n\n\n\n\n\n\n;Applicano procedure, regolamenti e tecnologie proprie per gestire, controllare, organizzare e garantire l'efficienza e la corretta erogazione dei servizi e ne verificano la qualità\n\n\n\n\n\n\n\n
TECNICA ELETTRONICA S.P.A;4BE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;luigi.spiazzi@tecnicaelettronica.it;045585166;VR;VIA SPALLANZANI, 26 - VERONA;ELE05 - INSTALLATORE/MANUTENTORE DI IMPIANTI/SISTEMI DI AUTOMAZIONE.\n\n\n;la figura si prefigge di: leggere e creare schemi elettrici, topografici, planimetrici anche con l'ausilio di strumenti informatici collaborare nella messa a punto degli impianti elettrici, nella regolazione delle apparecchiature e nella fase di collaudo eseguire l'installazione di impianti elettrici, delle verifiche, della ricerca di eventuali anomalie e loro riparazione analizzare la documentazione tecnica, i capitolati e le specifiche del committente programmare automatismi di comando e movimentazione con PLC.\n\n\n
DIEMME DI MELDO DANIELE;4BE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;info@diemmeimpianti.com;3475359656;VR;VIA DON GERMANO MALACCHINI,8/D - SOMMACAMPAGNA;ELE02 - CABLATORE/MANUTENTORE DI IMPIANTI ELETTRICI.\n\n\n\n;La figura effettua il cablaggio e messa in opera dei quadri elettrici bordo macchina per l’automazione civile e industriale.  Inoltre installa sistemi e apparecchiature elettroniche.\n\n\n\n
SMURFIT KAPPA SPA;3AL TRASPORTI E LOGISTICA ART. LOGISTICA;marta.pizzini@smurfitkappa.it;;VR;VIA LOCALITA' BAGNOLI 14 - PASTRENGO;LOG01 Responsabile di magazzino e della distribuzione interna\n\n\n;\nGestiscono la movimentazione interna ai magazzini, ne valutano la qualità, provvedono alla eventuale formazione di UdC o imballaggi vari, gestiscono il picking e l’allocazione interna delle merci valutando tempi e costi\n\n
ASSOCIAZIONE VERONA FABLAB;3FI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATICA;scuola@veronafablab.it;3440458663;VR;VIALE DEL LAVORO 2 - GREZZANA;FABLAB - ALTERNALAB - IOT\n\n\n\n;Un laboratorio di programmazione e prototipazione sull’ Internet of Things per apprendere la basi della programmazione di oggetti intelligenti e interconnessi. \n\n\n\n
PHARMATHEK SRL SOCIETA'UNIPERSONALE;3AE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;info@pharmathek.com;045 950301;VR;VIA ENRICO FERMI 43 - VERONA;ELE02 - CABLATORE/MANUTENTORE DI IMPIANTI ELETTRICI.\n\n\n\n\n;La figura effettua il cablaggio e messa in opera dei quadri elettrici bordo macchina per l’automazione civile e industriale.  Inoltre installa sistemi e apparecchiature elettroniche.\n\n\n\n\n
E-TIME SRL;4DI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;accounting@e-time.it;0458780289;VR;VIALE DEL LAVORO 45 - SAN MARTINO BUONALBERGO;INF02 - Sviluppatore di applicazioni per il web e multimediali\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n
VICENTINI SPA;4BL TRASPORTI E LOGISTICA ART. LOGISTICA;sara.modena@vicentini.it;0452085111;VR;VIA GARDESANE 49 - VERONA;LOG01 Responsabile di magazzino e della distribuzione interna\n\n\n;\nGestiscono la movimentazione interna ai magazzini, ne valutano la qualità, provvedono alla eventuale formazione di UdC o imballaggi vari, gestiscono il picking e l’allocazione interna delle merci valutando tempi e costi\n\n
DIGITALE FORGE VERONA SRL;3DI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;AMMINISTRAZIONE@DIGITALFORGE.IT;045 117788;VR;VIA MONTE BALDO 4 - VILLAFRANCA DI VERONA;INF01 - Tecnico programmatore\n\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n\n
ASSOCIAZIONE VERONA FABLAB;3DI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;scuola@veronafablab.it;3440458663;VR;VIALE DEL LAVORO 2 - GREZZANA;FABLAB - ALTERNALAB - IOT\n\n\n\n;Un laboratorio di programmazione e prototipazione sull’ Internet of Things per apprendere la basi della programmazione di oggetti intelligenti e interconnessi. \n\n\n\n
ECONOMICS LIVING LAB;4BI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info@econlivlab.eu;3473201905;VR;CORSO CAVOUR 76 - ZEVIO;INF02 - Sviluppatore di applicazioni per il web e multimediali\n\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n\n
ECONOMICS LIVING LAB;4BI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info@econlivlab.eu;3473201905;VR;CORSO CAVOUR 76 - ZEVIO;;
NOVAMIND S.N.C.;4EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info@novimind.it;0456630515;VR;VIA VITTORIO VENETO - ISOLA DELLA SCALA;INF02 - Sviluppatore di applicazioni per il web e multimediali\n\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n\n
NOVAMIND S.N.C.;4EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info@novimind.it;0456630515;VR;VIA VITTORIO VENETO - ISOLA DELLA SCALA;INF01 - Tecnico programmatore\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n
M B ACCUMULATORI SRL;5AE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;marco@mbaccumulatori.com;0456703743;VR;VIA DEL LAVORO,22 - BUSSOLENGO;Progetti di Alternanza Scuola-Lavoro classi Quinte\n\n\n\n;Esperienze di tirocinio presso soggetti ospitanti esterni per le classi 5^\n\n\n\n
ASSOCIAZIONE VERONA FABLAB;3DI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;scuola@veronafablab.it;3440458663;VR;VIALE DEL LAVORO 2 - GREZZANA;FABLAB - ALTERNALAB - IOT\n\n\n\n;Un laboratorio di programmazione e prototipazione sull’ Internet of Things per apprendere la basi della programmazione di oggetti intelligenti e interconnessi. \n\n\n\n
GIEFFE DI GOBETTI FABRIZIO;4CE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;frimanut@alice.it;3406620918;VR;VIA GINO BELTRAMINI 27 - ZEVIO;ELE05 - INSTALLATORE/MANUTENTORE DI IMPIANTI/SISTEMI DI AUTOMAZIONE.\n\n\n;la figura si prefigge di: leggere e creare schemi elettrici, topografici, planimetrici anche con l'ausilio di strumenti informatici collaborare nella messa a punto degli impianti elettrici, nella regolazione delle apparecchiature e nella fase di collaudo eseguire l'installazione di impianti elettrici, delle verifiche, della ricerca di eventuali anomalie e loro riparazione analizzare la documentazione tecnica, i capitolati e le specifiche del committente programmare automatismi di comando e movimentazione con PLC.\n\n\n
